Rank	Title	Actors
1	Guardians of the Galaxy	Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana
2	Prometheus	Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron
3	Split	James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula
4	Sing	Matthew McConaughey,Reese Witherspoon, Seth MacFarlane, Scarlett Johansson
5	Suicide Squad	Will Smith, Jared Leto, Margot Robbie, Viola Davis
6	The Great Wall	Matt Damon, Tian Jing, Willem Dafoe, Andy Lau
7	La La Land	Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons
8	Mindhorn	Essie Davis, Andrea Riseborough, Julian Barratt,Kenneth Branagh
9	The Lost City of Z	Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland
10	Passengers	Jennifer Lawrence, Chris Pratt, Michael Sheen,Laurence Fishburne
11	Fantastic Beasts and Where to Find Them	Eddie Redmayne, Katherine Waterston, Alison Sudol,Dan Fogler
12	Hidden Figures	Taraji P. Henson, Octavia Spencer, Janelle MonÃ¡e,Kevin Costner
13	Rogue One	Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen
14	Moana	Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison
15	Colossal	Anne Hathaway, Jason Sudeikis, Austin Stowell,Tim Blake Nelson
16	The Secret Life of Pets	Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell
17	Hacksaw Ridge	Andrew Garfield, Sam Worthington, Luke Bracey,Teresa Palmer
18	Jason Bourne	Matt Damon, Tommy Lee Jones, Alicia Vikander,Vincent Cassel
19	Lion	Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar
20	Arrival	Amy Adams, Jeremy Renner, Forest Whitaker,Michael Stuhlbarg
21	Gold	Matthew McConaughey, Edgar RamÃ­rez, Bryce Dallas Howard, Corey Stoll
22	Manchester by the Sea	Casey Affleck, Michelle Williams, Kyle Chandler,Lucas Hedges
23	Hounds of Love	Emma Booth, Ashleigh Cummings, Stephen Curry,Susie Porter
24	Trolls	Anna Kendrick, Justin Timberlake,Zooey Deschanel, Christopher Mintz-Plasse
25	Independence Day: Resurgence	Liam Hemsworth, Jeff Goldblum, Bill Pullman,Maika Monroe
26	Paris pieds nus	Fiona Gordon, Dominique Abel,Emmanuelle Riva, Pierre Richard
27	Bahubali: The Beginning	Prabhas, Rana Daggubati, Anushka Shetty,Tamannaah Bhatia
28	Dead Awake	Jocelin Donahue, Jesse Bradford, Jesse Borrego,Lori Petty
29	Bad Moms	Mila Kunis, Kathryn Hahn, Kristen Bell,Christina Applegate
30	Assassin's Creed	Michael Fassbender, Marion Cotillard, Jeremy Irons,Brendan Gleeson
31	Why Him?	Zoey Deutch, James Franco, Tangie Ambrose,Cedric the Entertainer
